True pH,Predicted pH
8.53,8.585348
8.27,8.293129
7.46,7.4787035
8.82,8.689743
5.69,5.6636124
5.24,5.320537
8.51,8.536408
6.45,6.539248
8.8,8.65486
6.87,6.8673306
7.95,7.9701056
8.14,8.150671
5.47,5.5438237
7.86,7.8876143
7.27,7.429167
6.55,6.6381893
5.96,5.9355597
7.11,7.211757
8.49,8.497902
7.65,7.71444
5.02,5.359968
8.28,8.277949
6.62,6.668535
6.57,6.6336803
7.0,7.023133
5.85,5.6385856
6.88,6.8878756
7.29,7.423756
5.73,5.7612076
6.21,6.2569747
8.37,8.392751
8.53,8.5085335
7.76,7.7941914
8.48,8.499709
8.4,8.442742
6.22,6.231698
5.15,5.3161507
7.68,7.742275
6.98,7.001069
7.36,7.39252
7.23,7.2961197
7.7,7.7315636
5.97,5.9283223
6.22,6.2300572
6.88,6.8523445
5.46,5.4640417
8.48,8.464485
6.87,6.8813925
5.2,5.497242
6.58,6.632767
5.74,5.7332234
6.21,6.247714
5.63,5.6536865
7.76,7.791136
7.29,7.4241085
8.62,8.625878
8.81,8.660778
7.14,7.241986
7.46,7.4817734
5.15,5.4349375
8.05,8.03123
6.99,7.014716
7.82,7.8738728
6.55,6.662003
5.47,5.5691376
5.36,5.418331
7.27,7.4285293
6.91,6.978348
6.63,6.6604023
6.14,6.1777086
7.37,7.3924484
6.91,6.990694
7.11,7.214896
7.82,7.8694773
8.48,8.48207
6.15,6.1644044
7.7,7.7449274
7.95,7.9761143
8.83,8.689378
8.37,8.39445
8.5,8.529092
6.98,7.0163765
5.65,5.7009907
6.76,6.7791085
7.35,7.3606377
6.22,6.2391133
7.74,7.784274
8.37,8.43192
8.75,8.650895
6.55,6.656385
6.45,6.565607
7.74,7.791899
8.16,8.152614
6.91,6.9977293
7.74,7.7842016
6.09,6.0879726
8.5,8.584247
5.16,5.3632746
5.46,5.47459
5.14,5.3449583
